metric,n,median,p90
firstorder_maximum,1352,0.0,0.24295872062619173
shape_number_of_islands,1342,0.0,0.0
firstorder_entropy,1352,0.010978317802525481,0.05132741191316746
shape_maximum_3d_diameter,1342,0.01142383192654595,0.0775072164606248
firstorder_percentile90,1352,0.012631634932453995,0.05722170311831874
shape_sphericity,1342,0.013451889979598966,0.048422621380155885
shape_major_axis_length,1342,0.014750404492880941,0.0922607269865039
shape_maximum_2d_diameter_row,1342,0.016674309237263728,0.2600963228959785
firstorder_root_mean_squared,1352,0.018601974178987197,0.09934937167804962
shape_least_axis_length,1342,0.021746321900972754,0.20228193294136018
shape_maximum_2d_diameter_slice,1342,0.022584486893664373,0.32336495785429537
shape_surface_volume_ratio,1342,0.022688206434795435,0.0927895724094999
firstorder_median,1352,0.023048114848802773,0.1277826920241781
firstorder_uniformity,1352,0.02385175308139891,0.10658811388348705
shape_flatness,1342,0.026396339040092975,0.18700024164175788
firstorder_robust_mean_absolute_deviation,1352,0.027389557833764865,0.1189468820461454
shape_maximum_2d_diameter_column,1342,0.027579824730683936,0.363889238177905
shape_minor_axis_length,1342,0.02853448475769358,0.26827843638812954
firstorder_interquartile_range,1352,0.02857142857142857,0.11446149036421711
firstorder_mean_absolute_deviation,1352,0.028799455237379666,0.15234749386307514
shape_surface_area,1342,0.03142625444502735,0.1284625668824279
firstorder_standard_deviation,1352,0.03314462357145513,0.18879818276827526
firstorder_mean,1352,0.0339873142449795,0.18797664145016693
shape_elongation,1342,0.03535047635299507,0.23601410926560804
firstorder_total_energy,1352,0.048583360316521065,0.2461261553004283
firstorder_energy,1352,0.04858336031652111,0.24612615530042833
shape_voxel_volume,1342,0.0488916900867951,0.18120421369130627
shape_mesh_volume,1342,0.04925186417720623,0.18381894199965515
firstorder_variance,1352,0.06516290662132536,0.34195606928730704
firstorder_kurtosis,1352,0.06521294009627873,0.45221015171801404
firstorder_range,1352,0.06588413946671176,0.301955377853191
firstorder_percentile10,1352,0.10764362220058424,0.6666666666666666
firstorder_minimum,1352,0.14085606686874252,0.665012413108243
firstorder_skewness,1352,0.14983435508262702,1.006318771394708
