organ,n_series,median_relvoldiff,max_relvoldiff
liver,24,0.007334422366407712,0.05613468169781527
gluteus_maximus_right,14,0.00941962949450483,0.08238913483904846
spleen,23,0.009722510552902871,0.11084103503632443
gluteus_medius_left,14,0.009856430269338046,0.03658293263829589
hip_right,14,0.010163515307572028,0.08714118482795878
kidney_left,21,0.01024330900243291,0.10400141018861273
autochthon_left,24,0.010645848684102729,0.04661871869733438
hip_left,14,0.011618976671243689,0.023772609819121448
heart_ventricle_left,23,0.012008058741644382,0.11972995075777353
kidney_right,22,0.013051770687023234,0.20116857481247533
gluteus_medius_right,14,0.013216322364245848,0.09927979834353624
aorta,24,0.014627983308216142,0.04808377475273211
gluteus_minimus_right,11,0.01634281818364114,0.09542922673656622
gluteus_maximus_left,14,0.016648813733074516,0.0728740581270183
pancreas,22,0.01697537073212993,0.6584148532641245
heart_atrium_left,22,0.016992724015679167,0.33410606261314957
lung_lower_lobe_right,1,0.017407129257127785,0.017407129257127785
lung_middle_lobe_right,1,0.017426318817040595,0.017426318817040595
heart_ventricle_right,24,0.017986847838233,0.3269349083302572
trachea,16,0.018272152984127876,0.05719192339716892
sacrum,14,0.018908317472722987,0.06181145629506513
iliopsoas_left,21,0.0189349112426034,0.8699186991869918
autochthon_right,24,0.019058298425748507,0.1055151363104198
iliopsoas_right,21,0.01941253836036826,0.4812286689419795
colon,22,0.020520136803837137,0.17922074147277245
stomach,24,0.021462095170787406,0.14485518503436245
heart_myocardium,24,0.023676674880372874,0.33989903988914183
iliac_artery_right,14,0.025278513027192383,0.046871801869413934
gallbladder,16,0.025809726652885865,0.9670846394984327
esophagus,24,0.026473718411655765,0.3912964641885766
heart_atrium_right,23,0.027720991086761116,0.36621299284411396
lung_lower_lobe_left,1,0.027782307245771784,0.027782307245771784
pulmonary_artery,17,0.028380800637323244,0.1320903776267973
small_bowel,20,0.028441965510983252,0.2600810663992311
gluteus_minimus_left,10,0.028903355074436893,0.09284791038345541
iliac_vena_left,14,0.03080153255741326,0.08489046391752578
iliac_artery_left,14,0.031609025541407584,0.10508963527714818
inferior_vena_cava,24,0.03197674815176694,0.5305350077412696
adrenal_gland_left,22,0.03924792787725345,0.2727272727272727
iliac_vena_right,14,0.04190895633436532,0.13751230718739738
lung_upper_lobe_left,1,0.04440784410306931,0.04440784410306931
scapula_right,19,0.04865506329113924,0.3769230769230769
duodenum,20,0.04926695601693838,0.3460791566487887
adrenal_gland_right,23,0.05396632176912162,0.24045261669024046
humerus_left,15,0.07964637657650366,0.2552197802197802
rib_right_5,22,0.08440957351891507,0.7583436341161928
femur_left,9,0.08535288100920559,0.10600724906297618
femur_right,9,0.08758884977563319,0.12000854370512015
rib_right_4,19,0.09321460775473403,0.22614840989399293
rib_right_7,24,0.10228014565831126,0.34681288553803974
humerus_right,14,0.10577284419073814,0.18055197317513547
rib_right_6,23,0.10670760963439209,0.34177215189873417
rib_right_1,16,0.10722147089357856,0.24767953102100634
scapula_left,20,0.10755119976802185,0.4544303797468355
rib_right_8,24,0.11069469427165284,0.16170546105640107
rib_right_3,17,0.1141729078476067,0.16783775151708719
rib_right_9,24,0.1215081467606158,0.46837462878418507
rib_left_1,16,0.12211548688382945,0.4339001225490196
rib_right_10,24,0.12263888200438539,0.7070707070707071
rib_left_4,19,0.1261999184611393,0.23678365171035096
rib_left_11,22,0.13719418974451325,0.25209343323049804
rib_left_8,24,0.13945607352366915,0.19340080410370164
rib_left_7,24,0.1415852100517817,0.2972878998609179
rib_left_6,24,0.1419862609373289,0.47451868629671573
rib_left_3,16,0.14536077599769062,0.1878847761647792
rib_left_5,22,0.1473343269801371,0.35640573873647124
rib_left_10,24,0.15431560661484123,0.7928331466965286
rib_left_9,24,0.1547745450524813,0.19964559952746605
rib_right_11,23,0.15696694750486065,0.8639813193228254
rib_right_2,16,0.1628158346506794,0.23148045003898854
rib_left_2,16,0.16850329179071533,0.22639502536409753
rib_left_12,22,0.28833009195640913,0.9578947368421052
rib_right_12,22,0.32399622024554564,0.8704891740176424
