SeriesInstanceUID,collection_id,Modality,BodyPartExamined,Manufacturer,ManufacturerModelName,instanceCount,series_size_MB,Rows,Columns,SliceThickness,PixelSpacing_row_mm,PixelSpacing_col_mm,voxels,idc_version,entity
1.3.6.1.4.1.14519.5.2.1.3320.3273.716888949184097095347965895655,cptac_ucec,CT,PELVIS,,SOMATOM Definition AS+,32,16.890324,512,512,5.0,0.9765625,0.9765625,8388608,v24,1
1.3.6.1.4.1.14519.5.2.1.6450.2626.621848376095075026068298245047,cptac_ccrcc,CT,,GE MEDICAL SYSTEMS,LightSpeed VCT,58,30.671656,512,512,5.0,0.736328,0.736328,15204352,v24,1
1.3.6.1.4.1.14519.5.2.1.1.10817705948882187705077267040835200005,cmb_crc,CT,CHESTABDPELVIS,TOSHIBA,Aquilion PRIME,66,39.286808,544,544,5.0,0.782,0.782,19531776,v24,1
1.3.6.1.4.1.14519.5.2.1.3320.3273.148654260493210832272217573207,cptac_ucec,CT,PELVIS,SIEMENS,SOMATOM Definition AS+,93,49.0867,512,512,1.5,0.5859375,0.5859375,24379392,v24,1
1.3.6.1.4.1.14519.5.2.1.6450.2626.123007333939987991187520058776,cptac_ucec,CT,,GE MEDICAL SYSTEMS,LightSpeed VCT,94,49.71096,512,512,5.0,0.740234,0.740234,24641536,v24,1
1.3.6.1.4.1.14519.5.2.1.4801.5885.113884838686340531426541864075,cptac_lscc,CT,CHEST,Philips,Ingenuity CT,115,60.687828,512,512,3.0,0.78125,0.78125,30146560,v24,1
1.3.6.1.4.1.14519.5.2.1.1.11328665123112866207666599234752512573,cmb_crc,CT,CHEST,TOSHIBA,Aquilion Prime SP,116,61.174738,512,512,2.0,0.743,0.743,30408704,v24,1
1.3.6.1.4.1.14519.5.2.1.165828182752454381717001673743242691069,cmb_brca,CT,HEAD,GE MEDICAL SYSTEMS,Discovery MI,119,62.945058,512,512,2.5,0.771484,0.771484,31195136,v24,1
1.3.6.1.4.1.14519.5.2.1.1.47662723912602613393697952100069653227,cmb_crc,CT,ABDOMEN,TOSHIBA,Aquilion Prime SP,78,67.388946,656,656,5.0,0.759,0.759,33566208,v24,1
1.3.6.1.4.1.14519.5.2.1.185674920625679305778890858709931210028,cmb_brca,CT,CHEST,GE MEDICAL SYSTEMS,Revolution CT,135,71.248806,512,512,3.0,1.30126953125,1.30126953125,35389440,v24,1
1.3.6.1.4.1.14519.5.2.1.249747234475942834682299784244177066122,cptac_ucec,CT,ABDOMEN,SIEMENS,Sensation 64,141,74.439594,512,512,3.0,0.787109375,0.787109375,36962304,v24,1
1.3.6.1.4.1.14519.5.2.1.245704401549769576754476477927268798179,cptac_ucec,CT,CHESTABDPELVIS,SIEMENS,SOMATOM Force,99,82.554616,810,512,3.0,0.75185185185185,0.751953125,41057280,v24,1
1.3.6.1.4.1.14519.5.2.1.160966906247193003320427549798324017685,cmb_ov,CT,CHEST,SIEMENS,SOMATOM Definition AS,138,85.451296,512,601,3.0,0.6484375,0.64891846921797,42464256,v24,1
1.3.6.1.4.1.14519.5.2.1.4801.5885.123301754313855310838744886785,cptac_ucec,CT,,GE MEDICAL SYSTEMS,LightSpeed VCT,207,109.503824,512,512,1.25,0.867188,0.867188,54263808,v24,1
1.3.6.1.4.1.14519.5.2.1.1.21787666599590798624202171032302865203,cmb_mel,CT,CHEST,SIEMENS,SOMATOM Scope,212,111.84754,512,512,3.0,0.78515625,0.78515625,55574528,v24,1
1.3.6.1.4.1.14519.5.2.1.1.70384148760029628630170825617834053097,cmb_mel,CT,WHOLEBODY,SIEMENS,Biograph64,213,112.42315,512,512,5.0,0.87109375,0.87109375,55836672,v24,1
1.3.6.1.4.1.14519.5.2.1.1078.3707.544393520846059480974859888494,cptac_pda,CT,ABDOMEN,GE MEDICAL SYSTEMS,Discovery CT750 HD,228,120.700266,512,512,2.5,0.859375,0.859375,59768832,v24,1
1.3.6.1.4.1.14519.5.2.1.1427.3349.341219172626478111181570898529,cptac_aml,CT,ABDOMEN,SIEMENS,SOMATOM Definition Flash,193,153.127844,771,512,2.0,0.59014267185473,0.58984375,76187136,v24,1
1.3.6.1.4.1.14519.5.2.1.52655907759208830284849554783379643555,cmb_brca,CT,ABDOMEN,SIEMENS,SOMATOM Definition AS,293,154.574122,512,512,2.0,0.640625,0.640625,76808192,v24,1
1.3.6.1.4.1.14519.5.2.1.339949878105121365044437708339439207004,cmb_lca,CT,CHEST,SIEMENS,SOMATOM Definition Flash,319,168.474476,512,512,2.0,0.646484375,0.646484375,83623936,v24,1
1.3.6.1.4.1.14519.5.2.1.3320.3273.255689725761567654962347000997,cptac_ccrcc,CT,ABDOMEN,SIEMENS,Perspective,348,183.70116,512,512,1.5,0.77734375,0.77734375,91226112,v24,1
1.3.6.1.4.1.14519.5.2.1.319589379835790918111877943231841423166,cmb_mml,CT,,GE MEDICAL SYSTEMS,Optima CT580,28,14.802324,512,512,5.0,0.871094,0.871094,7340032,v24,2
1.3.6.1.4.1.14519.5.2.1.3320.3273.931706046404928248503343914500,cptac_lscc,CT,CHEST,,ECLOS,71,37.429204,512,512,5.0,0.769,0.769,18612224,v24,2
1.3.6.1.4.1.14519.5.2.1.245297833619656540172624810178878578227,cmb_lca,CT,CHEST,FUJIFILM Healthcare Corporation,SCENARIA View,84,44.273004,512,512,8.0,0.74,0.74,22020096,v24,2
1.3.6.1.4.1.14519.5.2.1.3320.3273.115483888837173222953100114900,cptac_ccrcc,CT,ABDOMEN,SIEMENS,Emotion 16,87,45.902636,512,512,5.0,0.88671875,0.88671875,22806528,v24,2
1.3.6.1.4.1.14519.5.2.1.1.68487354309659022488402692572200841228,cmb_crc,CT,ABDOMEN,SIEMENS,Scope,96,50.618846,512,512,5.0,0.75390625,0.75390625,25165824,v24,2
1.3.6.1.4.1.14519.5.2.1.1.18190510632876402766248310574788840262,cmb_crc,CT,ABDOMENPELVIS,TOSHIBA,Aquilion PRIME,101,53.255564,512,512,3.0,0.782,0.782,26476544,v24,2
1.3.6.1.4.1.14519.5.2.1.2932.1975.263879183590429812524661596864,cptac_lscc,CT,CHESTABDPELVIS,TOSHIBA,Aquilion,104,54.84999,512,512,5.0,0.85,0.85,27262976,v24,2
1.3.6.1.4.1.14519.5.2.1.44052326161788299872116899031208005073,cmb_lca,CT,CHEST,SIEMENS,SOMATOM Definition AS+,104,54.834822,512,512,3.0,0.693359375,0.693359375,27262976,v24,2
1.3.6.1.4.1.14519.5.2.1.241546165040451224422679579756798844407,cmb_mel,CT,CHESTABDPELVIS,TOSHIBA,Aquilion,107,56.45594,512,512,3.0,0.785,0.785,28049408,v24,2
1.3.6.1.4.1.14519.5.2.1.4221.3754.300450458912349548321158983008,cptac_stad,CT,ABDOMEN,Siemens Healthineers,SOMATOM go.Up,81,57.973652,695,512,3.0,0.6473359375,0.6473352518,28823040,v24,2
1.3.6.1.4.1.14519.5.2.1.304152501256887658127381509112473116187,cmb_crc,CT,ABDOMEN,SIEMENS,SOMATOM Drive,131,69.197712,512,512,2.0,0.62109375,0.62109375,34340864,v24,2
1.3.6.1.4.1.14519.5.2.1.306855052429267931657485421144564531864,cmb_lca,CT,,GE MEDICAL SYSTEMS,LightSpeed VCT,143,75.619742,512,512,2.5,0.78125,0.78125,37486592,v24,2
1.3.6.1.4.1.14519.5.2.1.1427.3273.496272568993026515858883923356,cptac_ucec,CT,ABDOMEN,SIEMENS,SOMATOM Definition AS,140,77.111524,534,512,2.0,0.94569288389513,0.9453125,38277120,v24,2
1.3.6.1.4.1.14519.5.2.1.1.42896126568273253937492806140585222063,cmb_lca,CT,,GE MEDICAL SYSTEMS,BrightSpeed QX/i,218,114.900276,512,512,2.5,0.925293,0.925293,57147392,v24,2
1.3.6.1.4.1.14519.5.2.1.3320.3273.181095637365899254525689652888,cptac_ucec,CT,ABDOMEN,,SOMATOM Definition AS+,273,144.135298,512,512,1.5,0.87890625,0.87890625,71565312,v24,2
1.3.6.1.4.1.14519.5.2.1.1.32088189862789506707968558004303915476,cmb_gec,CT,WHOLEBODY,SIEMENS,SOMATOM Definition Flash,112,147.895698,1286,512,3.0,0.47667185069984,0.4765625,73744384,v24,2
1.3.6.1.4.1.14519.5.2.1.4801.5885.147975001059227642571102900673,cptac_lscc,CT,CHEST,Philips,Ingenuity CT,179,249.776592,728,956,2.0,0.4508242,0.4508242,124578272,v24,2
1.3.6.1.4.1.14519.5.2.1.1078.3273.295450725282585777200166644153,cptac_pda,CT,,GE MEDICAL SYSTEMS,Discovery CT750 HD,492,260.354186,512,512,0.625,0.664062,0.664062,128974848,v24,2
1.3.6.1.4.1.14519.5.2.1.293699020387085267782351874754622727559,cmb_aml,CT,,GE MEDICAL SYSTEMS,Optima CT580,25,13.216364,512,512,5.0,0.521484,0.521484,6553600,v24,3
1.3.6.1.4.1.14519.5.2.1.2857.5885.906267766834822203914369832116,cptac_luad,CT,CHEST,Philips,Brilliance Big Bore,26,13.72748,512,512,2.0,0.884765625,0.884765625,6815744,v24,3
